Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InputForm,Chrome 76.0.3809.100,,,2019-08-26 04:05:51,2019-08-26 04:06:16,25.167s,INCOMPLETE
,,,,,,,
Test Cases/Start,Chrome 76.0.3809.100,,,2019-08-26 04:06:08,2019-08-26 04:06:10,1.717s,PASSED
"comment(""Click on link to start practising."")",Chrome 76.0.3809.100,,,2019-08-26 04:06:09,2019-08-26 04:06:09,0.064s,PASSED
"scrollToElement(findTestObject(""linkStartPractising""), 0)",Chrome 76.0.3809.100,,,2019-08-26 04:06:09,2019-08-26 04:06:10,0.479s,PASSED
"click(findTestObject(""linkStartPractising""))",Chrome 76.0.3809.100,,,2019-08-26 04:06:10,2019-08-26 04:06:10,0.432s,PASSED
,,,,,,,
Test Cases/InputFormPage/TesrCaseInputForm,Chrome 76.0.3809.100,,,2019-08-26 04:06:10,2019-08-26 04:06:16,5.979s,PASSED
"click(findTestObject(""InputForms/linkHeaderSimpleFormDemo""))",Chrome 76.0.3809.100,,,2019-08-26 04:06:11,2019-08-26 04:06:12,1.362s,PASSED
"sendKeys(findTestObject(""InputForms/txtUserMessage""), ""This is first demo example in Katalon Studio"")",Chrome 76.0.3809.100,,,2019-08-26 04:06:12,2019-08-26 04:06:14,1.585s,PASSED
"click(findTestObject(""InputForms/btnShowMessage""))",Chrome 76.0.3809.100,,,2019-08-26 04:06:14,2019-08-26 04:06:14,0.472s,PASSED
"scrollToElement(findTestObject(""InputForms/headerTwoInputFields""), 0)",Chrome 76.0.3809.100,,,2019-08-26 04:06:14,2019-08-26 04:06:14,0.279s,PASSED
"sendKeys(findTestObject(""InputForms/txtInputA""), ""100"")",Chrome 76.0.3809.100,,,2019-08-26 04:06:14,2019-08-26 04:06:15,0.354s,PASSED
"sendKeys(findTestObject(""InputForms/txtInputB""), ""300"")",Chrome 76.0.3809.100,,,2019-08-26 04:06:15,2019-08-26 04:06:15,0.688s,PASSED
"click(findTestObject(""InputForms/btnSum""))",Chrome 76.0.3809.100,,,2019-08-26 04:06:15,2019-08-26 04:06:16,0.633s,PASSED
